base_choice_scores,base_correct,base_margin,base_predicted_label,candidate_correct,candidate_margin,candidate_predicted_label,candidate_residual_scores,context_preview,example_id,gold_label,gold_text,oracle_alpha,oracle_alpha_choice_scores,oracle_alpha_correct,oracle_alpha_margin,oracle_alpha_predicted_label,oracle_alpha_selection_reason,oracle_best_of_two_correct,oracle_best_of_two_source,screening_bucket
"[-12.431436538696289, -19.511104583740234]",False,-7.079668045043945,A,False,-7.074767112731934,A,"[0.004608963616192341, 0.009509909898042679]",Nick was at a baseball game during the evening. He stepped up to the plate so that he could bat. The pitcher threw a fastball at him. Nick saw the ball and hit it for a home run.,b10e6b0d-51ea-4032-954d-6cfe80f9928e,B,Nick ran the bases with a big smile on his face.,2048.0,"[-2.992279052734375, -0.034809112548828125]",True,2.957469940185547,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-22.065933227539062, -16.33177947998047]",False,-5.734153747558594,B,False,-5.740024566650391,B,"[0.016514644026756287, 0.022384129464626312]",Jake was at the grocery store. He was trying to pick melons. Someone noticed he was confused. She went over and tried to explain which were best.,b16b9ccd-ecdc-44c8-9c7f-bd2827aee2c3,A,Jake finally chose a melon that he thought was ripe.,-1024.0,"[-38.9769287109375, -39.25312805175781]",True,0.2761993408203125,A,correct_min_abs,False,A,stubborn_wrong_other
"[-25.430011749267578, -18.804330825805664]",False,-6.625680923461914,B,False,-6.632818222045898,B,"[-0.004342216067016125, 0.0027949209325015545]","My friend texted me, wanting to hang out Friday night. I wanted to take her out for dinner. When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great.",b17a99fe-5882-41cc-a11c-0fd49b31a2aa,A,I met up with another friend and we enjoyed ourselves.,-1024.0,"[-20.983582496643066, -21.666329860687256]",True,0.6827473640441895,A,correct_min_abs,False,A,improving_but_unflipped
"[-26.86603546142578, -20.996244430541992]",False,-5.869791030883789,B,False,-5.875190734863281,B,"[0.009742171503603458, 0.015142399817705154]",Bernie started to get tired of telemarketing calls. The phone had already rung six times in the past few hours. The phone just then rang again. Bernie picked up the phone to hear some snickering.,b487738b-3b12-4183-94f8-856698aae9c2,A,Bernie realized it was his friend prank calling.,-2048.0,"[-46.818002700805664, -52.00787925720215]",True,5.189876556396484,A,correct_min_abs,False,A,improving_but_unflipped
"[-16.007389068603516, -19.934932708740234]",False,-3.9275436401367188,A,False,-3.9156646728515625,A,"[0.0030487561598420143, 0.014926054514944553]","One Christmas, I received a shiny and expensive-looking briefcase. The next day, I filled my new case and gathered  my things. I set the briefcase on the roof temporarily while I loaded car. While I was driving, people were beeping at me.",b7755c94-f844-48aa-9c6f-8ecfb7507563,B,I did not realize where my briefcase was.,512.0,"[-14.446425914764404, -12.292792797088623]",True,2.1536331176757812,B,correct_min_abs,False,A,improving_but_unflipped
"[-16.740184783935547, -23.29400634765625]",False,-6.553821563720703,A,False,-6.5478973388671875,A,"[-0.0021701566874980927, 0.003753331024199724]",Mac needed a new tie. He went to the mall. He shopped until he found the perfect tie. He took it home and tried it on.,b7c35c24-24bb-4a57-ab29-8fd4928964ee,B,Mac's tie looked great and everyone gave him compliments.,2048.0,"[-21.18466567993164, -15.607184410095215]",True,5.577481269836426,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-10.24813175201416, -20.951107025146484]",False,-10.702975273132324,A,False,-10.691238403320312,A,"[-0.017126617953181267, -0.005389723926782608]",Stacie went down to the river bank to feed the ducks. She opened her package of bread. The ducks eagerly swam towards her. Stacie broke off small pieces of bread to give to the ducks.,b9224e3a-de59-49c6-9d59-b224bc844d7f,B,Stacie then fed the ducks and enjoyed it.,1024.0,"[-27.785788536071777, -26.470184326171875]",True,1.3156042098999023,B,correct_min_abs,False,A,improving_but_unflipped
"[-28.416526794433594, -27.063318252563477]",False,-1.3532085418701172,B,False,-1.3419017791748047,B,"[0.012458965182304382, 0.0011525992304086685]",Susan knew she hurt him by leaving. She knew she couldn't turn back. The next day she packed up and never looked back. She moved back in with her parents for awhile.,b98c114b-d657-49d2-9bd1-912438fadd68,A,Susan knew the choice she made was difficult but for the best.,128.0,"[-26.821779251098633, -26.915785551071167]",True,0.09400629997253418,A,correct_min_abs,False,A,stubborn_wrong_other
"[-18.09467887878418, -23.111154556274414]",False,-5.016475677490234,A,False,-5.019584655761719,A,"[0.013143758289515972, 0.010033948346972466]",One day I was walking on the sidewalk. I saw an old dog on the driveway nearby. He looked at me and barked. I tried to run away because I was startled.,b9fd2374-e193-45be-8646-6f3beca67b3c,B,I ran away and then got away.,-2048.0,"[-45.01309585571289, -43.66068077087402]",True,1.3524150848388672,B,correct_min_abs,False,A,improving_but_unflipped
"[-11.920164108276367, -10.510540962219238]",True,1.409623146057129,B,True,1.4159574508666992,B,"[0.0023568347096443176, 0.008690751157701015]",My cat likes to hunt. One day my cat hunted a mouse. The mouse was really fast. The cat could not catch the mouse.,bc5cb34e-a2c6-403b-954c-92bcfffb425a,B,The cat was really slow.,0.0,"[-11.920164108276367, -10.510540962219238]",True,1.409623146057129,B,correct_min_abs,True,A,base_correct_control
"[-9.336442947387695, -7.07894229888916]",False,-2.257500648498535,B,False,-2.2248969078063965,B,"[0.022350888699293137, -0.010252609848976135]","Tim took an arts and crafts class. He was awful at it. He couldn't make paper hats, necklaces, or bracelets. He decided to keep trying.",bc691aa4-cc56-49a0-a0dd-7e3482001d8f,A,Tim's skills improved over time.,128.0,"[-6.475529193878174, -8.391276359558105]",True,1.9157471656799316,A,correct_min_abs,False,A,improving_but_unflipped
"[-17.74942398071289, -20.62381935119629]",False,-2.8743953704833984,A,False,-2.857473373413086,A,"[-0.006114375311881304, 0.010806427337229252]","Debra decided that the bus was the most economical way to get to work. Debra found the bus somewhat slow, but very cost-effective. Debra also liked that public transit was environmentally friendly. She had to get up fifteen minutes earlier to make it to the bus.",bd36aa9d-d6ec-4895-bb7f-43c45226b070,B,She set her alarm for 15 minutes earlier.,256.0,"[-19.314704060554504, -17.8573739528656]",True,1.4573301076889038,B,correct_min_abs,False,A,improving_but_unflipped
"[-16.508222579956055, -19.492504119873047]",False,-2.984281539916992,A,False,-2.9718475341796875,A,"[-0.00407778937369585, 0.008355716243386269]","Yesterday, Pat was on a hiking trip with her girl scout troop. While they were eating lunch, her friends were playing around. One of the girls grabbed her phone and threw it into the lake. The girl was reprimanded for her action, but Pat never found her phone.",c06fd75b-3dcc-4f1c-9d28-7686dd73e57d,B,Pat never talked to that girl again.,256.0,"[-17.552136659622192, -17.353440761566162]",True,0.19869589805603027,B,correct_min_abs,False,A,improving_but_unflipped
"[-24.498268127441406, -17.39748764038086]",False,-7.100780487060547,B,False,-7.110065460205078,B,"[-0.002641892060637474, 0.0066441940143704414]",Deb always dreamed of getting married and buying a large house. After she met the love of her life she was ready to start a family. Deb knew that the first step was to buy a home. She quickly started to search for the perfect home.,c7c0e303-15b4-4512-b4d6-c1562789ef1d,A,She found a wonderful home right by her job.,-1024.0,"[-21.792970657348633, -24.20114231109619]",True,2.4081716537475586,A,correct_min_abs,False,A,stubborn_wrong_other
"[-28.787382125854492, -29.019168853759766]",True,0.23178672790527344,A,True,0.25968170166015625,A,"[0.029560839757323265, 0.0016643377020955086]",Francis has been inside his home for many days writing. He cannot remember the last time he left his house. Finally he puts on his boots and decides to go outside. The air feels great on his face.,c85e9c3e-4c5a-4b53-8572-52f98228df2c,A,Francis shivers and starts walking to a park.,0.0,"[-28.787382125854492, -29.019168853759766]",True,0.23178672790527344,A,correct_min_abs,True,A,base_correct_control
"[-17.629796981811523, -36.95316696166992]",False,-19.3233699798584,A,False,-19.31307029724121,A,"[-0.0005726185627281666, 0.009727860800921917]","Gino has been looking for a job for weeks. One day he sees an ad for a job at a pizza restaurant. Although he doesn't have relevant experience, he applies for the job. The owner decides to hire Gino.",cbde08c3-c0c2-401f-988d-7d2eb13ab8fa,B,Geno struggles for a while but gets the hang of it.,2048.0,"[-18.80251979827881, -17.030508041381836]",True,1.7720117568969727,B,correct_min_abs,False,A,improving_but_unflipped
"[-27.296642303466797, -16.691429138183594]",False,-10.605213165283203,B,False,-10.600528717041016,B,"[0.005823388695716858, 0.0011393028544262052]","Eric was walking around a pond at a local park. He saw a turtle on a rock a few feet from the shore. He stepped into the water to try to catch the turtle. Suddenly, he sank knee deep into the mud and got stuck.",cc17cf01-2e94-454f-b5f9-9b819e31a2e5,A,Someone walking on the shore ran over to rescue Eric.,4096.0,"[-3.444042205810547, -12.024844646453857]",True,8.58080244064331,A,correct_min_abs,False,A,improving_but_unflipped
"[-11.597733497619629, -20.414066314697266]",False,-8.816332817077637,A,False,-8.823965072631836,A,"[0.01224773470312357, 0.0046149566769599915]","I used to see an old man walk down the street every day. One day, to my surprise, he wasn't there! I asked everyone what had happened to him. Nobody knew, I thought that he had died!",cccad398-a3e5-4965-85d8-8b6197a5f123,B,One day the man was out walking again!,-2048.0,"[-36.6810941696167, -29.865497589111328]",True,6.815596580505371,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-38.39923858642578, -14.148632049560547]",True,24.250606536865234,B,True,24.25915241241455,B,"[-0.0016818675212562084, 0.0068636732175946236]","Mariko took her friend Julie to try ramen. Julie had never had ramen that wasn't instant dry noodles before. She eagerly tried the ramen. It was so good, she ordered a second bowl.",ce7e82aa-d883-45d5-b6e5-65f987b861b5,B,Julie decided it was her new favorite food.,0.0,"[-38.39923858642578, -14.148632049560547]",True,24.250606536865234,B,correct_min_abs,True,A,base_correct_control
"[-25.945770263671875, -20.734987258911133]",False,-5.210783004760742,B,False,-5.197164535522461,B,"[0.012138066813349724, -0.001479953178204596]","Allison takes a walk every night after dinner to get exercise. Nobody ever wants to go with her. One night, she ran into one of her neighbors. They walked for over an hour and had the best time talking!",cfe1651c-29de-4cc0-a8d1-22a6c1adbd18,A,Allison and her neighbor then made plans to walk more.,512.0,"[-19.731080055236816, -21.492723286151886]",True,1.7616432309150696,A,correct_min_abs,False,A,stubborn_wrong_other
"[-17.155624389648438, -14.517679214477539]",False,-2.6379451751708984,B,False,-2.641437530517578,B,"[-0.0023628221824765205, 0.0011294330470263958]",Linda passed by a bakery she never saw before. And she decided to go inside. She loved muffins. So she ordered a chocolate one and a banana one.,d1ba101d-1f33-4d22-9c98-916ec815ec6c,A,She ate them both right away!,-1024.0,"[-14.73609447479248, -15.674218654632568]",True,0.9381241798400879,A,correct_min_abs,False,A,stubborn_wrong_other
"[-24.39255142211914, -22.89847183227539]",True,1.49407958984375,B,True,1.4909000396728516,B,"[0.016191214323043823, 0.013012077659368515]",Larry hated going to the mall. He was stuck there last Saturday. It was particularly packed due to sales. He started having a panic attack in the middle of a crowd.,d51a8925-811f-4851-bc58-c6eca7660b3f,B,A man helped him recover.,0.0,"[-24.39255142211914, -22.89847183227539]",True,1.49407958984375,B,correct_min_abs,True,A,base_correct_control
"[-19.147632598876953, -14.815244674682617]",False,-4.332387924194336,B,False,-4.345746994018555,B,"[0.007230185437947512, 0.020590126514434814]","Sue got a white bunny for Easter. She named him Fred. About two weeks after she got him, Sue got a big surprise. There were five baby bunnies in the hutch with Fred.",d5569f5e-0c8a-47e9-9948-0fb157452e11,A,Fred must be a female rabbit.,-512.0,"[-22.84948754310608, -25.357389450073242]",True,2.507901906967163,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-18.581262588500977, -22.757848739624023]",False,-4.176586151123047,A,False,-4.170446395874023,A,"[0.0033625925425440073, 0.009501560591161251]",Tuie was a very spoiled dog who liked to be completely covered up. She would always try to get underneath Adam's blanket. Adam got tired of his blanket smelling like a dog. He went to the store and bought her a blanket of her very own.,dc845153-6fcc-4e6f-a06d-08d6459da34c,B,Tue loved her new blanket and Adam was happy.,1024.0,"[-15.137967824935913, -13.028250694274902]",True,2.1097171306610107,B,correct_min_abs,False,A,stubborn_wrong_other
"[-32.78385543823242, -16.83789825439453]",False,-15.94595718383789,B,False,-15.959896087646484,B,"[0.002787782810628414, 0.01672675460577011]","Jamie's friends at school always told her baseball was a boys sport. However, Jamie loved baseball more than any other activity. So Jamie practiced baseball no matter what the others said. Soon she was the best baseball player at school.",dd101579-96e4-4840-9e33-9bb4ce3c18ab,A,No one made fun of Jamie and her love of baseball again.,-2048.0,"[-38.493234634399414, -51.09429168701172]",True,12.601057052612305,A,correct_min_abs,False,A,stubborn_wrong_story_context
"[-19.408708572387695, -27.035709381103516]",False,-7.62700080871582,A,False,-7.616880416870117,A,"[0.006998345255851746, 0.017119040712714195]",Beth's daughter was coming to town and bringing her kids. Beth was excited to see her grandchildren. When her daughter arrived she played and baked cookies with the kids. The kids stayed 2 weeks before returning home.,dfc1fecf-7f42-4866-aa26-1371b985ab05,B,Beth and her grandchildren baked cookies everyday!,1024.0,"[-12.242403030395508, -9.50581169128418]",True,2.736591339111328,B,correct_min_abs,False,A,improving_but_unflipped
"[-12.631760597229004, -18.49371910095215]",False,-5.8619585037231445,A,False,-5.862911224365234,A,"[-0.01140877977013588, -0.01236194558441639]",When the waiter returned to the table the customers looked ready. She asked the woman what she wanted to eat. The woman began to speak and then stopped. She was no longer sure what she wanted.,e0bc2ab4-3028-45a2-b1de-6c57960b93f5,B,The waiter gave them more time.,-4096.0,"[34.09860134124756, 32.14081001281738]",False,-1.9577913284301758,A,best_margin_when_all_wrong,False,A,improving_but_unflipped
"[-26.686023712158203, -36.27483367919922]",False,-9.588809967041016,A,False,-9.581228256225586,A,"[-0.013754337094724178, -0.00617088470607996]",Lily was at the nearby mall with friends when she saw Nick Jonas. She was immediately shocked and couldn't believe it. Nick smiled at her and gave her an autograph. Lily was elated.,e5aeb957-508c-45e7-b0d1-d9f847f9c6f5,B,Lily posted what had happened to all the social media sites.,2048.0,"[-54.85490608215332, -48.91280555725098]",True,5.942100524902344,B,correct_min_abs,False,A,improving_but_unflipped
"[-19.492931365966797, -57.64792251586914]",True,38.154991149902344,A,True,38.1477108001709,A,"[0.007795680779963732, 0.015074364840984344]",John wanted to be on the track team for his high school. He wanted to run the dashes but wasn't a fast starter. He could run for hours at a steady pace but just not very fast. His coach recommended that he runs the mile instead of sprints.,e69ab46c-cad0-4e78-bd37-39cbf99e95d8,A,John made the track team and won.,0.0,"[-19.492931365966797, -57.64792251586914]",True,38.154991149902344,A,correct_min_abs,True,A,base_correct_control
"[-18.476642608642578, -21.818090438842773]",False,-3.3414478302001953,A,False,-3.3492870330810547,A,"[0.012383492663502693, 0.00454526674002409]",Tim was making pizza. It was for the family. However all the ingredients were gone except the dough and the sauce. He nervously put bananas on the pizza.,e9346026-e1cf-4188-97a8-7dc930c9f6c5,B,Tim's family pretended to like the banana pizza.,-512.0,"[-24.816990852355957, -24.145267009735107]",True,0.6717238426208496,B,correct_min_abs,False,A,stubborn_wrong_story_context
"[-14.766251564025879, -13.734490394592285]",False,-1.0317611694335938,B,False,-1.0231618881225586,B,"[0.01953129842877388, 0.0109318932518363]",Bill couldn't afford to go to college when he was younger. Now he is an old man whose dream is to get a degree. At the age of 70 he finally accomplished his dream. Everyone was very proud of him.,ed594d9e-4c0f-4110-be41-95859a167e16,A,Bill was the proudest.,128.0,"[-12.266245365142822, -12.335208058357239]",True,0.0689626932144165,A,correct_min_abs,False,A,improving_but_unflipped
"[-25.816301345825195, -24.45636749267578]",True,1.359933853149414,B,True,1.3500213623046875,B,"[0.021711312234401703, 0.01179923489689827]",Tay watched TV all the time. She decided to cut down on her TV consumption. She started by watching one less show every day. Then she watched only on weekends.,ee02eb9a-5f84-4781-8847-0e81178f7402,B,Tay had much more time to do things outside the house.,0.0,"[-25.816301345825195, -24.45636749267578]",True,1.359933853149414,B,correct_min_abs,True,A,base_correct_control
"[-15.213711738586426, -7.534603118896484]",False,-7.679108619689941,B,False,-7.691644191741943,B,"[-0.0016491493443027139, 0.010886806063354015]","Stella had a basketball game tonight. She wanted to skip the game, or sit on the bench. She wasn't really feeling well. But her coach insisted she play.",efd15a59-3fa8-436c-bc18-091a3ad9092c,A,Stella struggled through the basketball game.,-1024.0,"[-13.524982810020447, -18.682692527770996]",True,5.157709717750549,A,correct_min_abs,False,A,stubborn_wrong_other
"[-25.905858993530273, -23.294513702392578]",False,-2.6113452911376953,B,False,-2.618305206298828,B,"[-0.004739239811897278, 0.0022194788325577974]","My friend visited me from California. We went to his van, smoked and talked. Time went by fast as we caught up. My friend told me that he had to go.",f09ef0f0-ba27-49e3-8d6c-8dafb3a49137,A,My friend left and I was happy about the experience.,-512.0,"[-23.479368209838867, -24.43088686466217]",True,0.9515186548233032,A,correct_min_abs,False,A,improving_but_unflipped
"[-30.024492263793945, -34.16331100463867]",False,-4.138818740844727,A,False,-4.142477035522461,A,"[0.0019560500513762236, -0.0017003046814352274]",Dan and Tim were going to have a picnic. Tom made sandwiches for the picnic. Tim brought lemonade for the picnic. As the boys were leaving it started to rain.,f1c60fd9-11a7-4ab9-a785-e538e240c9cb,B,Dan saved the day and picnic by bringing an umbrella.,-2048.0,"[-34.03048276901245, -30.681087017059326]",True,3.349395751953125,B,correct_min_abs,False,A,stubborn_wrong_other
"[-20.62502670288086, -11.145715713500977]",False,-9.479310989379883,B,False,-9.490433692932129,B,"[0.009558254852890968, 0.020680740475654602]","Jarett loaned $200 dollars from me. He told me that he was going to pay me back before the end of the week. The next day, I saw him walking with Tony. He was giving her money.",f3a2b24e-3f37-47b4-98ff-d128cca05564,A,I was very angry at Jarrett.,-1024.0,"[-30.41267967224121, -32.32279396057129]",True,1.9101142883300781,A,correct_min_abs,False,A,stubborn_wrong_other
"[-19.702129364013672, -18.591873168945312]",True,1.1102561950683594,B,True,1.1230754852294922,B,"[-0.00477844150736928, 0.00804170873016119]",Sal loved to draw designs for shoes. He would pin them up all around his workshop. One day a rich businessman came to his workshop. He saw all of Sal's designs and was very impressed.,f3cb247a-f1b3-4ec1-9763-1d8583ab6c01,B,Sal was excited for his future with the businessman.,0.0,"[-19.702129364013672, -18.591873168945312]",True,1.1102561950683594,B,correct_min_abs,True,A,base_correct_control
"[-8.559802055358887, -32.1096305847168]",True,23.54982852935791,A,True,23.54305076599121,A,"[0.002129411557689309, 0.00890813022851944]","When Audrey was a little girl she was excited to start school. As the youngest, all her siblings started school before her. On her first day of school she was so excited to meet her teacher. When she came home she told her mom all about her new friends.",f47cf504-b7c7-4802-aba5-bdd756b5a402,A,Audrey was happy with her first day of school.,0.0,"[-8.559802055358887, -32.1096305847168]",True,23.54982852935791,A,correct_min_abs,True,A,base_correct_control
"[-12.617987632751465, -11.28835678100586]",False,-1.3296308517456055,B,False,-1.3305368423461914,B,"[0.015882054343819618, 0.016788404434919357]","I'm waiting for a payment to come through the mail. After several weeks, nothing came through the mail. A few people knocked on my door. Apparently they have the mail with my payment.",f4ad38ee-39c2-4132-ac39-d7ce6b458547,A,I was relieved.,-2048.0,"[-45.14443492889404, -45.6710090637207]",True,0.5265741348266602,A,correct_min_abs,False,A,improving_but_unflipped
"[-27.49156379699707, -19.36239242553711]",False,-8.129171371459961,B,False,-8.126489639282227,B,"[0.0007584397681057453, -0.0019220337271690369]","When I was young, I approached my cousin's dog and it bit my forearm. The bite broke the skin and I was bleeding and ran to my aunt and mom. When I tried to say what happened, they told me not to interrupt. I waited patiently, holding my arm and bleeding.",f68c3995-a6e6-4d15-ad3f-20d619a70824,A,I urged my aunt and mom that there was an emergency.,4096.0,"[-24.384994506835938, -27.235042572021484]",True,2.850048065185547,A,correct_min_abs,False,A,stubborn_wrong_other
"[-13.01253604888916, -14.816939353942871]",False,-1.804403305053711,A,False,-1.8136882781982422,A,"[0.008167941123247147, -0.0011164932511746883]","Felipe had been interested in Germany since he was a young child. He learned about the language and culture by reading library books. Finally in college he was able to visit Berlin. Felipe loved the German art, food, and beer.",fc416bf8-23b2-41af-b4bf-ffc544321166,B,Felipe visited Germany again later in his life.,-256.0,"[-15.10352897644043, -14.53111708164215]",True,0.5724118947982788,B,correct_min_abs,False,A,improving_but_unflipped
"[-12.2991943359375, -17.297008514404297]",False,-4.997814178466797,A,False,-5.000470161437988,A,"[0.009129246696829796, 0.006473000161349773]",I really wanted to make a snowman last week. There was plenty of time and snow. Unfortunately I didn't have any gloves good enough. I had lost all the pairs that wouldn't soak through.,fcda8c73-3eea-4c9e-a4d2-5daa960fdd22,B,Sadly I had to skip building a snowman.,-2048.0,"[-30.995891571044922, -30.553712844848633]",True,0.44217872619628906,B,correct_min_abs,False,A,improving_but_unflipped
"[-11.249042510986328, -10.765127182006836]",False,-0.4839153289794922,B,False,-0.46795654296875,B,"[0.018590236082673073, 0.0026308069936931133]",Larry had a big crush on his teacher. He knew it was pointless but constantly found himself staring. One day she caught him. He was really embarrassed.,fda48989-b699-4081-8e1c-edba35d07ccc,A,He vowed to stop staring.,32.0,"[-10.65415495634079, -10.680941358208656]",True,0.026786401867866516,A,correct_min_abs,False,A,improving_but_unflipped
